destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,12.826,40.433,183.127,39.382,0,0.0,24.76535897435897,0.0,0,CentralReadingRoom,40.9153,-73.122491,WolfieNet-Secure
youtube.com,40,40,0,0.0,12.095,41.347,178.404,41.774,0,0.0,26.510307692307695,0.0,0,CentralReadingRoom,40.9153,-73.122491,WolfieNet-Secure
tmall.com,40,39,1,2.5,251.251,380.977,684.642,119.82,0,0.0,89.67528947368422,2.5,1,CentralReadingRoom,40.9153,-73.122491,WolfieNet-Secure
facebook.com,40,40,0,0.0,14.584,49.668,183.849,47.598,0,0.0,29.50038461538462,0.0,0,CentralReadingRoom,40.9153,-73.122491,WolfieNet-Secure
qq.com,40,39,1,2.5,263.269,361.2,796.399,98.333,0,0.0,68.19365789473686,2.5,1,CentralReadingRoom,40.9153,-73.122491,WolfieNet-Secure
baidu.com,40,40,0,0.0,220.723,328.066,664.4,95.109,0,0.0,67.97307692307692,0.0,0,CentralReadingRoom,40.9153,-73.122491,WolfieNet-Secure
sohu.com,40,40,0,0.0,223.17,308.824,495.724,60.196,0,0.0,54.18843589743589,0.0,0,CentralReadingRoom,40.9153,-73.122491,WolfieNet-Secure
taobao.com,40,35,5,12.5,263.402,387.107,659.76,77.622,0,0.0,56.21573529411765,12.5,5,CentralReadingRoom,40.9153,-73.122491,WolfieNet-Secure
360.cn,40,34,6,15.0,256.305,371.961,742.653,109.742,0,0.0,79.14457575757577,15.0,6,CentralReadingRoom,40.9153,-73.122491,WolfieNet-Secure
jd.com,40,35,5,12.5,357.576,432.13,663.425,86.093,0,0.0,52.301029411764695,12.5,5,CentralReadingRoom,40.9153,-73.122491,WolfieNet-Secure
amazon.com,40,40,0,0.0,12.693,43.09,216.144,44.674,0,0.0,27.036410256410253,0.0,0,CentralReadingRoom,40.9153,-73.122491,WolfieNet-Secure
yahoo.com,40,40,0,0.0,44.634,105.106,285.881,73.847,0,0.0,41.26715384615385,0.0,0,CentralReadingRoom,40.9153,-73.122491,WolfieNet-Secure
wikipedia.org,40,40,0,0.0,38.723,91.777,272.775,71.704,0,0.0,32.846769230769226,0.0,0,CentralReadingRoom,40.9153,-73.122491,WolfieNet-Secure
