destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,15.352,23.674,54.95,6.034,0,0.0,4.584743589743591,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
youtube.com,40,40,0,0.0,13.072,35.425,301.164,48.38,0,0.0,26.409358974358977,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
tmall.com,40,39,1,2.5,253.354,326.708,489.106,51.194,0,0.0,40.59099999999999,2.5,1,CentralReadingRoom,40.9153,-73.122491,eduroam
facebook.com,40,40,0,0.0,17.666,34.434,233.888,42.317,0,0.0,13.417820512820514,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
qq.com,40,32,8,20.0,275.351,338.606,462.851,52.197,0,0.0,48.36996774193548,20.0,8,CentralReadingRoom,40.9153,-73.122491,eduroam
baidu.com,40,31,9,22.5,223.234,322.575,450.546,46.148,0,0.0,45.40183333333333,22.5,9,CentralReadingRoom,40.9153,-73.122491,eduroam
sohu.com,40,40,0,0.0,242.715,317.727,491.794,54.216,0,0.0,47.46961538461537,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
taobao.com,40,39,1,2.5,230.903,328.852,661.421,102.52,0,0.0,58.48536842105264,2.5,1,CentralReadingRoom,40.9153,-73.122491,eduroam
360.cn,40,36,4,10.0,252.152,330.997,460.413,52.303,0,0.0,43.680371428571426,10.0,4,CentralReadingRoom,40.9153,-73.122491,eduroam
jd.com,40,32,8,20.0,358.736,428.013,564.457,49.954,0,0.0,53.05474193548386,20.0,8,CentralReadingRoom,40.9153,-73.122491,eduroam
amazon.com,40,40,0,0.0,14.031,77.461,266.996,79.272,0,0.0,44.77543589743589,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
yahoo.com,40,40,0,0.0,19.007,59.638,235.835,51.636,0,0.0,37.737051282051276,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
wikipedia.org,40,40,0,0.0,39.208,72.919,350.247,70.146,0,0.0,30.280179487179485,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
weibo.com,40,40,0,0.0,221.998,266.722,398.248,43.155,0,0.0,37.44702564102564,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
sina.com.cn,40,40,0,0.0,245.742,314.128,447.985,52.84,0,0.0,49.36725641025641,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
alipay.com,40,38,2,5.0,224.175,327.502,591.871,88.774,0,0.0,56.387270270270264,5.0,2,CentralReadingRoom,40.9153,-73.122491,eduroam
bing.com,40,40,0,0.0,8.138,41.48,230.593,45.313,0,0.0,37.91456410256409,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
live.com,40,40,0,0.0,8.019,56.247,226.998,64.217,0,0.0,40.42358974358975,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
twitter.com,40,40,0,0.0,34.298,82.971,233.119,59.652,0,0.0,32.855179487179484,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
twitch.tv,40,40,0,0.0,7.641,36.264,169.988,36.503,0,0.0,28.208333333333332,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
reddit.com,40,40,0,0.0,7.265,34.287,175.454,43.218,0,0.0,25.03666666666666,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
office.com,40,40,0,0.0,10.213,43.985,239.345,59.198,0,0.0,28.716717948717953,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
instagram.com,40,40,0,0.0,13.403,60.064,176.506,50.288,0,0.0,35.83143589743589,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
panda.tv,40,40,0,0.0,9.092,51.493,283.128,69.262,0,0.0,45.21958974358974,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
zhanqi.tv,40,35,5,12.5,240.664,380.482,739.119,129.676,0,0.0,95.02676470588234,12.5,5,CentralReadingRoom,40.9153,-73.122491,eduroam
blackboard.stonybrook.edu,40,40,0,0.0,5.635,45.091,210.184,46.58,0,0.0,32.42420512820513,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
messenger.com,40,40,0,0.0,16.403,49.385,177.867,42.397,0,0.0,25.248769230769238,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
classroom.google.com,40,40,0,0.0,12.217,44.204,173.813,43.004,0,0.0,25.220717948717947,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
chegg.com,40,40,0,0.0,12.431,58.406,249.276,67.686,0,0.0,30.159897435897438,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
coursehero.com,40,40,0,0.0,10.142,117.38,1184.323,211.065,0,0.0,98.82669230769231,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
discord.com,40,40,0,0.0,9.929,50.609,207.6,52.768,0,0.0,36.61364102564102,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
quizlet.com,40,40,0,0.0,9.413,47.621,197.501,56.066,0,0.0,29.00489743589743,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
github.com,40,39,1,2.5,14.653,55.609,187.506,51.517,0,0.0,32.19186842105264,2.5,1,CentralReadingRoom,40.9153,-73.122491,eduroam
psns.cc.stonybrook.edu,40,40,0,0.0,7.586,32.822,165.211,44.918,0,0.0,21.339051282051283,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
stackoverflow.com,40,40,0,0.0,8.629,39.389,214.97,42.941,0,0.0,27.832256410256413,0.0,0,CentralReadingRoom,40.9153,-73.122491,eduroam
