destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,11.215,34.632,172.47,30.927,0,0.0,26.56825641025641,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
youtube.com,40,40,0,0.0,11.738,46.638,285.89,56.452,0,0.0,37.0866923076923,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
tmall.com,40,40,0,0.0,248.126,390.652,880.597,160.676,0,0.0,149.27343589743592,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
facebook.com,40,32,8,20.0,14.248,52.176,246.752,60.162,0,0.0,31.728387096774195,20.0,8,FreyHall-Lobby,40.915635,-73.123666,eduroam
qq.com,40,40,0,0.0,251.793,339.293,485.875,55.136,0,0.0,51.51125641025641,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
baidu.com,40,39,1,2.5,229.607,323.43,685.854,93.282,0,0.0,66.461,2.5,1,FreyHall-Lobby,40.915635,-73.123666,eduroam
sohu.com,40,40,0,0.0,218.649,293.283,741.889,84.056,0,0.0,70.92271794871795,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
taobao.com,40,40,0,0.0,246.034,331.927,554.05,70.948,0,0.0,50.66784615384615,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
360.cn,40,39,1,2.5,220.519,347.98,656.833,84.555,0,0.0,66.31294736842104,2.5,1,FreyHall-Lobby,40.915635,-73.123666,eduroam
jd.com,40,40,0,0.0,243.35,309.606,665.648,76.803,0,0.0,63.39046153846153,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
amazon.com,40,40,0,0.0,11.713,54.848,330.38,79.416,0,0.0,57.263025641025635,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
yahoo.com,40,40,0,0.0,73.308,121.819,260.61,54.66,0,0.0,42.34617948717948,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
wikipedia.org,40,40,0,0.0,38.541,69.279,181.919,38.475,0,0.0,30.621692307692303,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
weibo.com,40,40,0,0.0,218.604,268.234,579.833,67.825,0,0.0,54.235641025641016,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
sina.com.cn,40,39,1,2.5,216.445,285.771,453.693,52.215,0,0.0,47.89902631578948,2.5,1,FreyHall-Lobby,40.915635,-73.123666,eduroam
alipay.com,40,32,8,20.0,231.187,300.879,422.033,57.873,0,0.0,51.16574193548386,20.0,8,FreyHall-Lobby,40.915635,-73.123666,eduroam
bing.com,40,40,0,0.0,6.361,35.268,221.767,47.678,0,0.0,21.856256410256414,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
live.com,40,38,2,5.0,7.206,58.545,1038.88,166.055,0,0.0,74.06932432432434,5.0,2,FreyHall-Lobby,40.915635,-73.123666,eduroam
twitter.com,40,40,0,0.0,24.304,68.557,216.804,52.439,0,0.0,31.97715384615384,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
twitch.tv,40,40,0,0.0,6.021,42.919,197.303,53.811,0,0.0,37.27697435897436,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
reddit.com,40,40,0,0.0,5.035,37.198,221.759,56.179,0,0.0,35.55146153846154,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
office.com,40,40,0,0.0,7.49,26.187,152.244,31.507,0,0.0,15.91592307692308,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
instagram.com,40,40,0,0.0,13.751,42.227,157.973,41.05,0,0.0,25.32138461538462,0.0,0,FreyHall-Lobby,40.915635,-73.123666,eduroam
