destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,9.804,15.547,80.796,12.739,0,0.0,5.769230769230767,0.0,0,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
youtube.com,40,40,0,0.0,9.769,12.781,17.059,1.476,0,0.0,1.7528205128205132,0.0,0,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
tmall.com,40,35,5,12.5,235.183,314.584,477.982,44.724,0,0.0,48.3235294117647,12.5,5,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
facebook.com,40,40,0,0.0,11.624,20.255,128.865,24.334,0,0.0,6.943589743589744,0.0,0,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
qq.com,40,36,4,10.0,220.695,320.27,378.971,38.581,0,0.0,41.94285714285714,10.0,4,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
baidu.com,40,35,5,12.5,217.28,308.001,375.58,46.627,0,0.0,41.088235294117645,12.5,5,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
sohu.com,40,40,0,0.0,223.311,284.476,373.225,39.723,0,0.0,42.17948717948718,0.0,0,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
taobao.com,40,38,2,5.0,266.029,333.111,404.785,35.824,0,0.0,38.75675675675676,5.0,2,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
360.cn,40,32,8,20.0,255.507,347.058,416.872,43.118,0,0.0,39.32258064516129,20.0,8,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
jd.com,40,37,3,7.5,354.284,408.601,514.351,38.247,0,0.0,39.47222222222222,7.5,3,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
amazon.com,40,40,0,0.0,10.271,12.664,16.037,1.258,0,0.0,1.4410256410256415,0.0,0,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
yahoo.com,40,40,0,0.0,15.715,26.701,136.602,26.771,0,0.0,14.902564102564103,0.0,0,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
wikipedia.org,40,40,0,0.0,34.258,38.233,58.47,4.71,0,0.0,2.74871794871795,0.0,0,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
weibo.com,40,40,0,0.0,226.466,275.726,410.104,41.479,0,0.0,44.205128205128204,0.0,0,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
sina.com.cn,40,40,0,0.0,242.875,299.962,351.654,33.594,0,0.0,38.94871794871795,0.0,0,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
alipay.com,40,37,3,7.5,260.899,337.294,407.677,39.049,0,0.0,38.72222222222222,7.5,3,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
bing.com,40,40,0,0.0,6.282,11.549,62.395,9.496,0,0.0,4.51025641025641,0.0,0,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
live.com,40,40,0,0.0,6.556,11.829,126.94,18.516,0,0.0,7.561538461538462,0.0,0,Humanities2ndFloorLounge,40.91411,-73.12103,WolfieNet-Secure
