destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,9.669,20.468,125.247,26.384,0,0.0,17.18153846153846,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
youtube.com,40,40,0,0.0,10.622,15.647,58.278,8.751,0,0.0,5.682051282051282,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
tmall.com,40,40,0,0.0,230.002,300.406,382.663,39.274,0,0.0,41.794871794871796,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
facebook.com,40,40,0,0.0,13.034,16.199,58.809,6.962,0,0.0,2.8358974358974356,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
qq.com,40,37,3,7.5,262.285,366.967,520.138,55.945,0,0.0,57.5,7.5,3,HumanitiesGlassArea,40.91421,-73.12134,eduroam
baidu.com,40,40,0,0.0,220.055,302.586,637.347,66.272,0,0.0,56.46153846153846,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
sohu.com,40,40,0,0.0,219.262,313.467,398.808,41.39,0,0.0,41.92307692307692,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
taobao.com,40,39,1,2.5,261.411,341.036,408.429,39.149,0,0.0,48.89473684210526,2.5,1,HumanitiesGlassArea,40.91421,-73.12134,eduroam
360.cn,40,34,6,15.0,224.904,316.002,422.72,44.139,0,0.0,50.54545454545455,15.0,6,HumanitiesGlassArea,40.91421,-73.12134,eduroam
jd.com,40,40,0,0.0,282.601,343.497,412.087,34.889,0,0.0,42.30769230769231,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
amazon.com,40,40,0,0.0,9.867,14.64,38.397,6.055,0,0.0,5.222051282051282,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
yahoo.com,40,40,0,0.0,73.535,91.643,233.764,36.599,0,0.0,19.27435897435897,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
wikipedia.org,40,40,0,0.0,36.113,40.149,53.708,3.416,0,0.0,2.9871794871794877,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
weibo.com,40,40,0,0.0,213.429,287.397,589.602,72.181,0,0.0,68.94871794871794,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
sina.com.cn,40,40,0,0.0,242.484,304.336,456.112,38.32,0,0.0,42.51282051282051,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
alipay.com,40,40,0,0.0,248.073,327.615,586.261,58.911,0,0.0,52.58974358974359,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
bing.com,40,40,0,0.0,3.749,7.164,19.607,2.451,0,0.0,2.0717948717948715,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
live.com,40,40,0,0.0,6.679,8.412,17.316,1.578,0,0.0,1.1928205128205132,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
twitter.com,40,40,0,0.0,36.479,40.755,59.694,4.679,0,0.0,3.8948717948717944,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
twitch.tv,40,40,0,0.0,3.842,6.662,11.725,1.463,0,0.0,1.2623076923076921,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,eduroam
