destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,10.343,12.174,15.804,0.883,0,0.0,0.5769230769230768,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
youtube.com,40,40,0,0.0,11.448,12.412,16.16,0.866,0,0.0,0.7000000000000001,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
tmall.com,40,40,0,0.0,266.059,335.496,392.223,33.038,0,0.0,39.333333333333336,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
facebook.com,40,40,0,0.0,11.965,14.076,22.055,1.45,0,0.0,1.158974358974359,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
qq.com,40,40,0,0.0,223.477,272.789,402.869,40.354,0,0.0,41.84615384615385,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
baidu.com,40,38,2,5.0,236.684,313.936,440.284,41.726,0,0.0,43.32432432432432,5.0,2,NCS106,40.91761,-73.08106,WolfieNet-Secure
sohu.com,40,40,0,0.0,217.975,285.13,439.406,45.946,0,0.0,46.205128205128204,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
taobao.com,40,39,1,2.5,253.563,323.335,463.459,52.781,0,0.0,57.3421052631579,2.5,1,NCS106,40.91761,-73.08106,WolfieNet-Secure
360.cn,40,38,2,5.0,246.659,324.095,470.536,46.78,0,0.0,49.86486486486486,5.0,2,NCS106,40.91761,-73.08106,WolfieNet-Secure
jd.com,40,36,4,10.0,354.594,430.771,613.118,62.845,0,0.0,67.77142857142857,10.0,4,NCS106,40.91761,-73.08106,WolfieNet-Secure
amazon.com,40,40,0,0.0,10.721,11.977,17.553,1.216,0,0.0,1.2564102564102566,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
yahoo.com,40,40,0,0.0,42.817,45.354,52.332,2.074,0,0.0,0.9205128205128205,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
wikipedia.org,40,40,0,0.0,34.172,36.428,38.814,0.817,0,0.0,0.8410256410256406,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
weibo.com,40,40,0,0.0,233.964,293.222,377.98,34.592,0,0.0,41.23076923076923,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
sina.com.cn,40,38,2,5.0,233.918,313.337,437.585,42.785,0,0.0,47.75675675675676,5.0,2,NCS106,40.91761,-73.08106,WolfieNet-Secure
alipay.com,40,40,0,0.0,238.478,316.248,464.564,60.292,0,0.0,57.38461538461539,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
bing.com,40,40,0,0.0,5.376,6.883,25.729,3.131,0,0.0,1.8492307692307695,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
live.com,40,40,0,0.0,5.741,7.362,9.414,0.601,0,0.0,0.5369230769230771,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
twitter.com,40,40,0,0.0,30.556,32.383,40.376,1.435,0,0.0,0.8461538461538459,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
twitch.tv,40,40,0,0.0,4.109,5.894,7.475,0.819,0,0.0,0.7735897435897434,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
reddit.com,40,40,0,0.0,4.943,5.961,6.91,0.537,0,0.0,0.41717948717948716,0.0,0,NCS106,40.91761,-73.08106,WolfieNet-Secure
