destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,10.231,11.983,14.454,0.865,0,0.0,0.9,0.0,0,NCS120,40.91272,-73.12379,eduroam
youtube.com,40,40,0,0.0,10.499,12.158,17.39,1.427,0,0.0,1.105128205128205,0.0,0,NCS120,40.91272,-73.12379,eduroam
tmall.com,40,33,7,17.5,251.112,336.3,480.884,54.517,0,0.0,50.78125,17.5,7,NCS120,40.91272,-73.12379,eduroam
facebook.com,40,40,0,0.0,12.502,14.429,17.244,1.035,0,0.0,1.3717948717948718,0.0,0,NCS120,40.91272,-73.12379,eduroam
qq.com,40,36,4,10.0,256.051,352.633,431.732,44.277,0,0.0,33.74285714285714,10.0,4,NCS120,40.91272,-73.12379,eduroam
baidu.com,40,34,6,15.0,232.343,298.204,402.696,40.844,0,0.0,50.03030303030303,15.0,6,NCS120,40.91272,-73.12379,eduroam
sohu.com,40,27,13,32.5,221.252,293.986,418.808,47.881,0,0.0,53.61538461538461,32.5,13,NCS120,40.91272,-73.12379,eduroam
taobao.com,40,33,7,17.5,278.278,366.201,470.986,39.276,0,0.0,43.21875,17.5,7,NCS120,40.91272,-73.12379,eduroam
360.cn,40,39,1,2.5,265.493,365.133,435.482,42.257,0,0.0,45.1578947368421,2.5,1,NCS120,40.91272,-73.12379,eduroam
jd.com,40,11,29,72.5,611.618,809.082,1026.367,135.57,0,0.0,92.8,72.5,29,NCS120,40.91272,-73.12379,eduroam
amazon.com,40,40,0,0.0,9.88,18.044,137.687,23.734,0,0.0,8.017435897435897,0.0,0,NCS120,40.91272,-73.12379,eduroam
yahoo.com,40,40,0,0.0,14.918,16.734,18.727,0.913,0,0.0,0.9923076923076923,0.0,0,NCS120,40.91272,-73.12379,eduroam
wikipedia.org,40,40,0,0.0,36.865,39.515,55.673,3.21,0,0.0,2.133333333333333,0.0,0,NCS120,40.91272,-73.12379,eduroam
weibo.com,40,40,0,0.0,219.726,279.037,383.21,35.499,0,0.0,40.666666666666664,0.0,0,NCS120,40.91272,-73.12379,eduroam
sina.com.cn,40,38,2,5.0,226.743,287.569,467.843,46.703,0,0.0,49.270270270270274,5.0,2,NCS120,40.91272,-73.12379,eduroam
alipay.com,40,40,0,0.0,262.32,314.691,371.759,33.733,0,0.0,40.58974358974359,0.0,0,NCS120,40.91272,-73.12379,eduroam
bing.com,40,40,0,0.0,6.016,7.966,11.112,0.938,0,0.0,1.0838461538461543,0.0,0,NCS120,40.91272,-73.12379,eduroam
live.com,40,40,0,0.0,6.686,14.421,120.381,22.057,0,0.0,6.998974358974357,0.0,0,NCS120,40.91272,-73.12379,eduroam
twitter.com,40,40,0,0.0,35.734,38.006,42.533,1.193,0,0.0,1.0564102564102564,0.0,0,NCS120,40.91272,-73.12379,eduroam
twitch.tv,40,40,0,0.0,5.105,6.243,8.509,0.911,0,0.0,1.2261538461538464,0.0,0,NCS120,40.91272,-73.12379,eduroam
reddit.com,40,40,0,0.0,4.529,6.859,12.372,1.329,0,0.0,1.4051282051282052,0.0,0,NCS120,40.91272,-73.12379,eduroam
office.com,40,40,0,0.0,6.455,8.053,10.427,0.937,0,0.0,0.9402564102564102,0.0,0,NCS120,40.91272,-73.12379,eduroam
instagram.com,40,40,0,0.0,12.545,14.328,17.562,0.921,0,0.0,1.1256410256410259,0.0,0,NCS120,40.91272,-73.12379,eduroam
panda.tv,40,40,0,0.0,4.94,6.705,10.314,0.961,0,0.0,1.0876923076923077,0.0,0,NCS120,40.91272,-73.12379,eduroam
zhanqi.tv,40,35,5,12.5,275.95,333.988,431.471,39.533,0,0.0,39.911764705882355,12.5,5,NCS120,40.91272,-73.12379,eduroam
blackboard.stonybrook.edu,40,40,0,0.0,4.618,6.289,9.819,1.076,0,0.0,1.113846153846154,0.0,0,NCS120,40.91272,-73.12379,eduroam
messenger.com,40,40,0,0.0,12.285,13.863,16.502,1.128,0,0.0,1.2948717948717947,0.0,0,NCS120,40.91272,-73.12379,eduroam
classroom.google.com,40,40,0,0.0,10.658,12.422,14.423,0.84,0,0.0,0.9717948717948721,0.0,0,NCS120,40.91272,-73.12379,eduroam
chegg.com,40,40,0,0.0,11.942,16.189,58.211,8.092,0,0.0,3.2846153846153836,0.0,0,NCS120,40.91272,-73.12379,eduroam
coursehero.com,40,40,0,0.0,6.164,10.466,52.378,11.101,0,0.0,7.29,0.0,0,NCS120,40.91272,-73.12379,eduroam
discord.com,40,40,0,0.0,4.885,12.79,124.795,22.886,0,0.0,7.226410256410256,0.0,0,NCS120,40.91272,-73.12379,eduroam
quizlet.com,40,40,0,0.0,5.454,8.309,32.87,4.258,0,0.0,2.5110256410256415,0.0,0,NCS120,40.91272,-73.12379,eduroam
github.com,40,40,0,0.0,9.445,16.271,110.973,18.495,0,0.0,6.182051282051282,0.0,0,NCS120,40.91272,-73.12379,eduroam
psns.cc.stonybrook.edu,40,40,0,0.0,3.755,8.521,96.332,14.642,0,0.0,4.3533333333333335,0.0,0,NCS120,40.91272,-73.12379,eduroam
stackoverflow.com,40,40,0,0.0,4.356,7.52,34.656,4.755,0,0.0,3.0615384615384613,0.0,0,NCS120,40.91272,-73.12379,eduroam
