destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,12.679,63.721,252.726,63.683,0,0.0,41.436948717948724,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
youtube.com,40,40,0,0.0,13.516,56.295,242.203,57.745,0,0.0,38.48592307692308,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
tmall.com,40,37,3,7.5,259.241,784.322,5086.689,1024.081,0,0.0,263.2258333333333,7.5,3,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
facebook.com,40,40,0,0.0,19.13,53.748,209.781,44.155,0,0.0,33.39594871794872,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
qq.com,40,40,0,0.0,232.599,473.851,1013.537,187.685,0,0.0,195.27669230769231,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
baidu.com,40,40,0,0.0,226.625,422.029,743.019,131.891,0,0.0,149.02771794871796,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
sohu.com,40,40,0,0.0,241.748,443.067,842.341,162.353,0,0.0,117.22956410256407,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
taobao.com,40,40,0,0.0,247.206,477.215,1275.195,190.7,0,0.0,158.22179487179488,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
360.cn,40,36,4,10.0,275.466,520.467,1084.828,198.559,0,0.0,188.48260000000002,10.0,4,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
jd.com,40,36,4,10.0,372.946,596.55,1131.785,181.1,0,0.0,199.8702,10.0,4,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
amazon.com,40,40,0,0.0,15.675,60.477,240.362,54.8,0,0.0,42.54697435897435,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
yahoo.com,40,40,0,0.0,46.952,99.368,288.809,60.849,0,0.0,37.83630769230769,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
wikipedia.org,40,40,0,0.0,37.873,83.837,221.56,55.109,0,0.0,34.44364102564102,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
weibo.com,40,40,0,0.0,219.89,332.35,795.19,131.213,0,0.0,106.78015384615388,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
sina.com.cn,40,40,0,0.0,243.334,388.799,746.396,141.993,0,0.0,132.26728205128205,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
alipay.com,40,40,0,0.0,265.226,402.308,765.837,116.84,0,0.0,102.49779487179487,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
bing.com,40,40,0,0.0,8.659,63.011,231.303,65.592,0,0.0,35.96061538461538,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
live.com,40,40,0,0.0,9.82,163.811,2413.976,423.937,0,0.0,147.097358974359,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
twitter.com,40,40,0,0.0,38.743,166.544,1467.569,289.458,0,0.0,97.96523076923077,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
twitch.tv,40,40,0,0.0,7.099,148.451,2065.03,365.727,0,0.0,170.4523076923077,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
reddit.com,40,40,0,0.0,12.477,112.98,1256.564,219.045,0,0.0,115.65530769230773,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
office.com,40,40,0,0.0,9.907,111.099,987.353,160.077,0,0.0,79.11917948717948,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
instagram.com,40,40,0,0.0,18.158,62.865,233.23,51.646,0,0.0,37.069179487179476,0.0,0,NorthReadingRoom-F1,40.916034,-73.122723,WolfieNet-Secure
