destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,11.49,31.968,168.617,31.873,0,0.0,20.49835897435897,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
youtube.com,40,40,0,0.0,12.898,58.587,284.046,73.549,0,0.0,37.31023076923077,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
tmall.com,40,36,4,10.0,280.787,448.347,811.907,134.049,0,0.0,131.1009142857143,10.0,4,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
facebook.com,40,40,0,0.0,13.895,49.975,292.948,58.689,0,0.0,38.234794871794875,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
qq.com,40,36,4,10.0,223.819,358.788,705.096,98.733,0,0.0,109.12817142857143,10.0,4,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
baidu.com,40,36,4,10.0,222.486,365.674,913.167,146.912,0,0.0,142.83485714285715,10.0,4,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
sohu.com,40,38,2,5.0,222.099,351.762,666.677,111.287,0,0.0,94.5771891891892,5.0,2,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
taobao.com,40,37,3,7.5,233.821,364.529,619.75,94.454,0,0.0,78.43575000000001,7.5,3,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
360.cn,40,40,0,0.0,222.25,334.931,669.063,117.299,0,0.0,152.64287179487178,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
jd.com,40,40,0,0.0,245.557,350.121,725.15,121.031,0,0.0,106.26005128205128,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
amazon.com,40,40,0,0.0,12.185,45.364,171.807,42.374,0,0.0,23.95825641025641,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
yahoo.com,40,40,0,0.0,76.697,131.683,346.337,71.472,0,0.0,39.426794871794876,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
wikipedia.org,40,40,0,0.0,36.676,82.427,301.286,74.346,0,0.0,28.88697435897436,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
weibo.com,40,40,0,0.0,218.742,319.725,572.156,107.404,0,0.0,117.68779487179486,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
sina.com.cn,40,40,0,0.0,243.222,341.77,608.888,103.898,0,0.0,118.9821282051282,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
alipay.com,40,35,5,12.5,224.855,362.622,708.041,118.449,0,0.0,110.83582352941175,12.5,5,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
bing.com,40,40,0,0.0,6.465,30.372,157.351,34.879,0,0.0,20.293358974358977,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
live.com,40,40,0,0.0,7.065,51.615,267.192,71.356,0,0.0,37.29561538461538,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
twitter.com,40,40,0,0.0,37.523,65.454,186.668,37.363,0,0.0,20.255358974358973,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
twitch.tv,40,40,0,0.0,6.313,40.967,207.684,50.434,0,0.0,27.643538461538462,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
reddit.com,40,40,0,0.0,5.739,27.386,162.14,33.035,0,0.0,21.007179487179485,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
office.com,40,40,0,0.0,7.649,30.762,144.706,32.636,0,0.0,20.747230769230768,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
instagram.com,40,40,0,0.0,13.806,58.523,241.885,56.884,0,0.0,34.60266666666666,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
panda.tv,40,40,0,0.0,5.934,39.292,227.01,48.364,0,0.0,34.1551282051282,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
zhanqi.tv,40,40,0,0.0,233.65,396.519,725.937,142.542,0,0.0,102.25684615384617,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
blackboard.stonybrook.edu,40,40,0,0.0,6.02,37.804,150.028,38.869,0,0.0,25.786564102564103,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
messenger.com,40,40,0,0.0,14.12,48.702,180.187,45.897,0,0.0,28.44964102564102,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
classroom.google.com,40,40,0,0.0,12.793,48.119,187.621,47.042,0,0.0,31.25371794871795,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
chegg.com,40,40,0,0.0,11.637,43.295,217.812,50.57,0,0.0,24.287743589743588,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
coursehero.com,40,40,0,0.0,8.021,31.126,229.931,40.998,0,0.0,23.930846153846158,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
discord.com,40,40,0,0.0,7.752,33.101,183.243,38.819,0,0.0,22.741230769230768,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
quizlet.com,40,40,0,0.0,7.436,37.249,163.07,40.135,0,0.0,32.82958974358975,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
github.com,40,40,0,0.0,11.631,43.687,187.431,44.503,0,0.0,25.025,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
psns.cc.stonybrook.edu,40,40,0,0.0,5.165,34.775,168.374,42.023,0,0.0,28.887666666666657,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
stackoverflow.com,40,40,0,0.0,6.518,36.351,219.677,46.503,0,0.0,26.82546153846154,0.0,0,NorthReadingRoom-F2,40.916027,-73.122614,eduroam
