destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40.0,39.0,1.0,2.5,9.535,536.529,3069.707,765.536,0.0,0.0,481.16789473684213,2.5,1.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
youtube.com,40.0,40.0,0.0,0.0,9.579,88.935,1394.176,237.851,0.0,0.0,112.2876923076923,0.0,0.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
tmall.com,40.0,32.0,8.0,20.0,230.883,650.082,2546.497,513.312,0.0,0.0,426.1290322580645,20.0,8.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
facebook.com,40.0,32.0,8.0,20.0,12.143,505.236,4799.941,1141.947,0.0,0.0,394.0741935483871,20.0,8.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
qq.com,40.0,36.0,4.0,10.0,229.9,889.905,4187.928,910.24,0.0,0.0,584.3714285714286,10.0,4.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
baidu.com,40.0,35.0,5.0,12.5,217.031,575.825,2600.346,595.096,0.0,0.0,380.5882352941176,12.5,5.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
sohu.com,40.0,35.0,5.0,12.5,222.636,781.142,3096.892,734.287,0.0,0.0,488.3529411764706,12.5,5.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
taobao.com,40.0,38.0,2.0,5.0,249.097,1046.665,3990.041,1013.217,0.0,0.0,722.2702702702703,5.0,2.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
,,,,,,,,,,,-1.0,,,RothCafe,40.91081,-73.12387,WolfieNet-Secure
,,,,,,,,,,,-1.0,,,RothCafe,40.91081,-73.12387,WolfieNet-Secure
,,,,,,,,,,,-1.0,,,RothCafe,40.91081,-73.12387,WolfieNet-Secure
yahoo.com,40.0,34.0,6.0,15.0,77.695,410.752,2749.291,582.637,0.0,0.0,340.269696969697,15.0,6.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
wikipedia.org,40.0,40.0,0.0,0.0,39.007,628.95,5451.829,1237.651,0.0,0.0,422.9128205128205,0.0,0.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
weibo.com,40.0,15.0,25.0,62.5,570.851,3880.389,8739.956,2417.018,0.0,0.0,2119.785714285714,62.5,25.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
sina.com.cn,40.0,28.0,12.0,30.0,351.919,2315.855,5483.318,1545.354,0.0,0.0,1574.1851851851852,30.0,12.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
,,,,,,,,,,,-1.0,,,RothCafe,40.91081,-73.12387,WolfieNet-Secure
bing.com,40.0,40.0,0.0,0.0,5.599,34.634,1034.063,160.056,0.0,0.0,55.45692307692308,0.0,0.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
live.com,40.0,40.0,0.0,0.0,6.351,15.836,304.944,46.342,0.0,0.0,17.246666666666666,0.0,0.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
twitter.com,40.0,40.0,0.0,0.0,36.401,38.418,46.492,1.934,0.0,0.0,1.7717948717948708,0.0,0.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
twitch.tv,40.0,40.0,0.0,0.0,4.761,7.816,19.807,3.167,0.0,0.0,2.5689743589743594,0.0,0.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
reddit.com,40.0,40.0,0.0,0.0,3.896,10.157,61.952,11.025,0.0,0.0,8.873846153846154,0.0,0.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
office.com,40.0,40.0,0.0,0.0,5.858,9.745,31.852,4.655,0.0,0.0,4.164871794871794,0.0,0.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
instagram.com,40.0,38.0,2.0,5.0,11.467,17.695,43.399,6.909,0.0,0.0,6.070270270270269,5.0,2.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
panda.tv,40.0,35.0,5.0,12.5,5.655,1355.854,5087.784,1525.873,0.0,0.0,957.1702941176471,12.5,5.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
,,,,,,,,,,,-1.0,,,RothCafe,40.91081,-73.12387,WolfieNet-Secure
,,,,,,,,,,,-1.0,,,RothCafe,40.91081,-73.12387,WolfieNet-Secure
,,,,,,,,,,,-1.0,,,RothCafe,40.91081,-73.12387,WolfieNet-Secure
,,,,,,,,,,,-1.0,,,RothCafe,40.91081,-73.12387,WolfieNet-Secure
chegg.com,40.0,30.0,10.0,25.0,14.787,636.258,4939.519,1186.322,0.0,0.0,486.0206896551724,25.0,10.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
coursehero.com,40.0,28.0,12.0,30.0,4.947,241.108,1750.734,452.366,0.0,0.0,266.4748148148148,30.0,12.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
discord.com,40.0,40.0,0.0,0.0,5.559,15.449,279.587,42.435,0.0,0.0,16.93128205128205,0.0,0.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
quizlet.com,40.0,40.0,0.0,0.0,5.944,8.869,18.076,2.796,0.0,0.0,2.4864102564102564,0.0,0.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
github.com,40.0,39.0,1.0,2.5,9.967,13.773,20.272,2.526,0.0,0.0,2.1534210526315793,2.5,1.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
psns.cc.stonybrook.edu,40.0,40.0,0.0,0.0,3.767,7.317,22.032,3.896,0.0,0.0,3.5174358974358975,0.0,0.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
stackoverflow.com,40.0,40.0,0.0,0.0,4.208,12.463,207.845,31.745,0.0,0.0,13.673333333333334,0.0,0.0,RothCafe,40.91081,-73.12387,WolfieNet-Secure
