destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,9.989,13.127,51.004,6.318,0,0.0,3.4261538461538454,0.0,0,RothCafe,40.91081,-73.12387,eduroam
youtube.com,40,40,0,0.0,10.399,17.041,56.101,9.343,0,0.0,7.641025641025641,0.0,0,RothCafe,40.91081,-73.12387,eduroam
tmall.com,40,39,1,2.5,232.946,356.121,833.948,124.563,0,0.0,120.71052631578948,2.5,1,RothCafe,40.91081,-73.12387,eduroam
facebook.com,40,40,0,0.0,12.982,17.978,44.716,6.895,0,0.0,5.635897435897436,0.0,0,RothCafe,40.91081,-73.12387,eduroam
qq.com,40,36,4,10.0,221.978,298.423,437.205,46.716,0,0.0,52.628571428571426,10.0,4,RothCafe,40.91081,-73.12387,eduroam
baidu.com,40,32,8,20.0,221.213,894.855,5080.014,1161.913,0,0.0,480.16129032258067,20.0,8,RothCafe,40.91081,-73.12387,eduroam
sohu.com,40,27,13,32.5,227.135,416.853,2280.014,423.058,0,0.0,159.69230769230768,32.5,13,RothCafe,40.91081,-73.12387,eduroam
taobao.com,40,39,1,2.5,231.796,319.176,642.046,70.68,0,0.0,70.8157894736842,2.5,1,RothCafe,40.91081,-73.12387,eduroam
360.cn,40,34,6,15.0,266.989,410.837,2210.301,352.871,0,0.0,162.33333333333334,15.0,6,RothCafe,40.91081,-73.12387,eduroam
jd.com,40,40,0,0.0,225.198,307.948,498.572,63.441,0,0.0,64.94871794871794,0.0,0,RothCafe,40.91081,-73.12387,eduroam
amazon.com,40,39,1,2.5,10.664,14.016,26.171,3.398,0,0.0,3.35,2.5,1,RothCafe,40.91081,-73.12387,eduroam
yahoo.com,40,40,0,0.0,78.583,80.62,90.134,2.241,0,0.0,1.9487179487179485,0.0,0,RothCafe,40.91081,-73.12387,eduroam
wikipedia.org,40,40,0,0.0,35.05,37.729,46.212,2.468,0,0.0,2.271794871794872,0.0,0,RothCafe,40.91081,-73.12387,eduroam
weibo.com,40,40,0,0.0,217.859,293.296,406.498,48.487,0,0.0,56.23076923076923,0.0,0,RothCafe,40.91081,-73.12387,eduroam
sina.com.cn,40,35,5,12.5,274.599,340.395,445.691,38.794,0,0.0,49.05882352941177,12.5,5,RothCafe,40.91081,-73.12387,eduroam
alipay.com,40,38,2,5.0,247.396,359.013,1013.139,168.185,0,0.0,96.56756756756756,5.0,2,RothCafe,40.91081,-73.12387,eduroam
bing.com,40,33,7,17.5,4.77,14.358,272.668,45.688,0,0.0,9.5971875,17.5,7,RothCafe,40.91081,-73.12387,eduroam
live.com,40,40,0,0.0,5.742,8.803,54.185,7.471,0,0.0,4.237179487179486,0.0,0,RothCafe,40.91081,-73.12387,eduroam
twitter.com,40,40,0,0.0,36.214,40.402,72.24,6.005,0,0.0,4.533333333333334,0.0,0,RothCafe,40.91081,-73.12387,eduroam
twitch.tv,40,40,0,0.0,5.068,7.081,16.006,2.328,0,0.0,1.5984615384615384,0.0,0,RothCafe,40.91081,-73.12387,eduroam
reddit.com,40,40,0,0.0,3.603,8.35,60.057,8.516,0,0.0,4.132564102564103,0.0,0,RothCafe,40.91081,-73.12387,eduroam
office.com,40,40,0,0.0,5.191,7.805,16.46,2.366,0,0.0,2.1979487179487185,0.0,0,RothCafe,40.91081,-73.12387,eduroam
instagram.com,40,39,1,2.5,10.89,14.399,25.637,3.513,0,0.0,1.9315789473684213,2.5,1,RothCafe,40.91081,-73.12387,eduroam
panda.tv,40,39,1,2.5,4.463,10.672,53.864,11.177,0,0.0,6.85421052631579,2.5,1,RothCafe,40.91081,-73.12387,eduroam
zhanqi.tv,40,36,4,10.0,252.822,356.078,1057.655,160.186,0,0.0,107.68571428571428,10.0,4,RothCafe,40.91081,-73.12387,eduroam
blackboard.stonybrook.edu,40,40,0,0.0,3.251,7.336,20.989,3.681,0,0.0,3.0233333333333334,0.0,0,RothCafe,40.91081,-73.12387,eduroam
messenger.com,40,40,0,0.0,11.778,14.818,47.417,5.491,0,0.0,3.492307692307693,0.0,0,RothCafe,40.91081,-73.12387,eduroam
classroom.google.com,40,40,0,0.0,9.057,10.805,17.603,1.516,0,0.0,1.3128205128205128,0.0,0,RothCafe,40.91081,-73.12387,eduroam
chegg.com,40,40,0,0.0,9.097,12.199,28.559,2.944,0,0.0,2.56974358974359,0.0,0,RothCafe,40.91081,-73.12387,eduroam
coursehero.com,40,40,0,0.0,4.819,6.568,13.311,1.442,0,0.0,1.2269230769230768,0.0,0,RothCafe,40.91081,-73.12387,eduroam
discord.com,40,40,0,0.0,5.012,7.382,12.105,1.368,0,0.0,1.3212820512820516,0.0,0,RothCafe,40.91081,-73.12387,eduroam
quizlet.com,40,40,0,0.0,4.876,14.224,121.942,20.671,0,0.0,10.437692307692307,0.0,0,RothCafe,40.91081,-73.12387,eduroam
github.com,40,36,4,10.0,9.996,309.761,3025.128,708.049,0,0.0,275.1057142857143,10.0,4,RothCafe,40.91081,-73.12387,eduroam
psns.cc.stonybrook.edu,40,40,0,0.0,3.007,5.721,11.483,2.091,0,0.0,2.253333333333334,0.0,0,RothCafe,40.91081,-73.12387,eduroam
stackoverflow.com,40,40,0,0.0,4.791,7.419,45.029,6.098,0,0.0,3.0435897435897434,0.0,0,RothCafe,40.91081,-73.12387,eduroam
