destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,12.923,36.398,149.672,34.943,0,0.0,24.091358974358975,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
youtube.com,40,40,0,0.0,11.316,56.115,262.397,60.657,0,0.0,30.96712820512821,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
tmall.com,40,40,0,0.0,267.782,307.945,435.031,44.288,0,0.0,34.81897435897435,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
facebook.com,40,40,0,0.0,15.015,36.592,171.718,36.602,0,0.0,20.35089743589743,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
qq.com,40,40,0,0.0,246.004,295.768,428.095,52.353,0,0.0,42.63907692307694,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
baidu.com,40,40,0,0.0,219.275,258.474,379.46,46.26,0,0.0,36.41115384615385,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
sohu.com,40,40,0,0.0,220.2,259.376,371.355,47.09,0,0.0,40.56594871794872,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
taobao.com,40,40,0,0.0,266.288,309.143,443.265,45.258,0,0.0,38.311025641025644,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
360.cn,40,40,0,0.0,250.664,291.244,438.349,48.268,0,0.0,35.74382051282051,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
jd.com,40,39,1,2.5,358.579,404.166,579.493,58.345,0,0.0,35.955184210526326,2.5,1,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
amazon.com,40,40,0,0.0,12.702,41.242,192.273,46.187,0,0.0,24.99515384615385,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
yahoo.com,40,40,0,0.0,78.288,125.253,241.509,51.729,0,0.0,31.036384615384613,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
wikipedia.org,40,40,0,0.0,38.143,79.121,187.149,46.7,0,0.0,26.83792307692308,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
weibo.com,40,37,3,7.5,304.882,377.085,602.009,62.609,0,0.0,47.22433333333333,7.5,3,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
sina.com.cn,40,40,0,0.0,218.177,260.277,379.409,46.208,0,0.0,39.914743589743594,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
alipay.com,40,40,0,0.0,252.031,294.864,426.915,50.724,0,0.0,40.14792307692307,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
bing.com,40,40,0,0.0,7.346,26.584,154.488,32.42,0,0.0,18.906871794871797,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
live.com,40,40,0,0.0,7.172,29.109,165.79,35.532,0,0.0,20.207076923076922,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
twitter.com,40,40,0,0.0,38.634,68.886,186.906,40.103,0,0.0,22.694615384615382,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
twitch.tv,40,40,0,0.0,6.29,27.434,140.332,35.776,0,0.0,20.961487179487182,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
reddit.com,40,40,0,0.0,6.453,30.066,144.856,34.697,0,0.0,21.834307692307693,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
office.com,40,40,0,0.0,7.489,31.164,144.477,36.449,0,0.0,23.165641025641026,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
instagram.com,40,40,0,0.0,13.878,46.077,172.554,43.102,0,0.0,28.160461538461533,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
panda.tv,40,40,0,0.0,6.841,33.224,171.493,39.511,0,0.0,22.637897435897433,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
zhanqi.tv,40,40,0,0.0,245.454,284.234,413.466,46.445,0,0.0,37.99510256410257,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
blackboard.stonybrook.edu,40,40,0,0.0,5.817,37.29,215.347,52.526,0,0.0,28.915358974358977,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
messenger.com,40,40,0,0.0,14.442,41.845,181.436,42.314,0,0.0,23.686948717948717,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
classroom.google.com,40,40,0,0.0,12.256,44.089,170.167,45.025,0,0.0,24.11315384615385,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
chegg.com,40,40,0,0.0,12.182,39.776,171.548,41.191,0,0.0,22.58620512820513,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
coursehero.com,40,40,0,0.0,7.158,36.094,164.161,41.558,0,0.0,23.7781282051282,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
discord.com,40,40,0,0.0,6.983,32.897,168.766,39.505,0,0.0,23.154461538461536,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
quizlet.com,40,40,0,0.0,7.554,33.703,185.232,44.648,0,0.0,24.676205128205133,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
github.com,40,40,0,0.0,12.047,39.282,175.95,42.417,0,0.0,23.403974358974356,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
psns.cc.stonybrook.edu,40,40,0,0.0,4.75,30.121,162.62,39.77,0,0.0,25.517692307692307,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
stackoverflow.com,40,40,0,0.0,6.895,29.218,173.237,40.405,0,0.0,24.08143589743589,0.0,0,SAC-Cafeteria,40.914734,-73.123341,WolfieNet-Secure
