destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,13.482,37.144,193.194,40.462,0,0.0,19.00130769230769,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
youtube.com,40,40,0,0.0,11.865,47.013,194.363,46.578,0,0.0,29.308051282051284,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
tmall.com,40,40,0,0.0,262.876,330.607,483.564,55.032,0,0.0,48.77841025641026,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
facebook.com,40,40,0,0.0,15.68,23.536,63.838,8.57,0,0.0,7.222384615384615,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
qq.com,40,40,0,0.0,231.067,276.792,393.406,48.245,0,0.0,36.944358974358984,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
baidu.com,40,40,0,0.0,219.647,276.878,339.1,35.421,0,0.0,40.823025641025644,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
sohu.com,40,40,0,0.0,220.232,297.917,452.834,60.124,0,0.0,49.60733333333334,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
taobao.com,40,40,0,0.0,268.656,344.086,586.077,74.352,0,0.0,46.06420512820514,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
360.cn,40,40,0,0.0,252.508,314.48,463.53,56.986,0,0.0,46.37074358974358,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
jd.com,40,39,1,2.5,246.346,339.271,612.999,96.645,0,0.0,74.08210526315789,2.5,1,SAC-Cafeteria,40.914734,-73.123341,eduroam
amazon.com,40,40,0,0.0,13.167,34.99,153.78,33.978,0,0.0,14.856,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
yahoo.com,40,40,0,0.0,39.763,60.426,194.168,36.45,0,0.0,10.536,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
wikipedia.org,40,40,0,0.0,38.391,76.842,233.095,55.357,0,0.0,26.72902564102564,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
weibo.com,40,33,7,17.5,324.768,390.87,549.056,55.391,0,0.0,44.4423125,17.5,7,SAC-Cafeteria,40.914734,-73.123341,eduroam
sina.com.cn,40,40,0,0.0,217.31,302.067,457.972,49.356,0,0.0,36.9411282051282,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
alipay.com,40,40,0,0.0,224.751,287.539,334.334,29.864,0,0.0,29.95161538461538,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
bing.com,40,40,0,0.0,8.454,41.248,208.973,53.331,0,0.0,18.742307692307694,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
live.com,40,40,0,0.0,8.91,15.563,37.843,4.935,0,0.0,4.566846153846154,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
twitter.com,40,40,0,0.0,40.396,49.593,81.468,6.487,0,0.0,5.145794871794873,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
twitch.tv,40,40,0,0.0,7.708,23.489,225.017,35.876,0,0.0,20.086589743589744,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
reddit.com,40,40,0,0.0,8.335,16.268,23.805,2.796,0,0.0,2.620461538461538,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
office.com,40,40,0,0.0,10.258,18.667,23.893,3.255,0,0.0,2.997128205128205,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
instagram.com,40,40,0,0.0,15.178,24.008,35.403,3.102,0,0.0,3.136666666666667,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
panda.tv,40,40,0,0.0,7.313,35.399,190.145,44.084,0,0.0,18.94074358974359,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
zhanqi.tv,40,40,0,0.0,244.675,282.844,416.678,45.95,0,0.0,41.790282051282055,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
blackboard.stonybrook.edu,40,40,0,0.0,6.941,30.46,138.938,36.07,0,0.0,24.692589743589743,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
messenger.com,40,40,0,0.0,15.223,50.471,220.371,48.231,0,0.0,27.639769230769218,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
classroom.google.com,40,40,0,0.0,13.461,41.937,233.905,49.32,0,0.0,28.06889743589744,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
chegg.com,40,40,0,0.0,12.452,41.273,239.707,53.682,0,0.0,24.28720512820513,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
coursehero.com,40,40,0,0.0,8.724,26.911,183.661,37.927,0,0.0,15.59497435897436,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
discord.com,40,40,0,0.0,8.344,23.019,277.365,40.882,0,0.0,16.629820512820515,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
quizlet.com,40,40,0,0.0,8.541,34.023,199.158,41.242,0,0.0,24.472384615384616,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
github.com,40,40,0,0.0,13.105,42.68,503.988,78.692,0,0.0,36.26228205128205,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
psns.cc.stonybrook.edu,40,40,0,0.0,5.515,23.923,176.683,33.189,0,0.0,11.28479487179487,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
stackoverflow.com,40,40,0,0.0,7.422,23.699,159.453,26.344,0,0.0,8.487102564102562,0.0,0,SAC-Cafeteria,40.914734,-73.123341,eduroam
