destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,31,9,22.5,11.787,78.946,449.575,91.642,0,0.0,81.60040000000002,22.5,9,SAC-Lobby,40.914629,-73.124226,WolfieNet-Secure
youtube.com,40,40,0,0.0,12.229,28.412,99.943,21.288,0,0.0,18.972615384615388,0.0,0,SAC-Lobby,40.914629,-73.124226,WolfieNet-Secure
tmall.com,40,40,0,0.0,233.198,309.958,438.069,50.954,0,0.0,49.398923076923076,0.0,0,SAC-Lobby,40.914629,-73.124226,WolfieNet-Secure
facebook.com,40,40,0,0.0,13.94,55.311,205.595,53.21,0,0.0,30.618846153846153,0.0,0,SAC-Lobby,40.914629,-73.124226,WolfieNet-Secure
qq.com,40,40,0,0.0,229.492,287.751,379.55,36.536,0,0.0,43.61943589743589,0.0,0,SAC-Lobby,40.914629,-73.124226,WolfieNet-Secure
baidu.com,40,40,0,0.0,218.383,277.363,387.255,48.834,0,0.0,43.31087179487179,0.0,0,SAC-Lobby,40.914629,-73.124226,WolfieNet-Secure
sohu.com,40,40,0,0.0,222.141,289.937,366.987,40.858,0,0.0,40.32735897435897,0.0,0,SAC-Lobby,40.914629,-73.124226,WolfieNet-Secure
taobao.com,40,39,1,2.5,238.352,327.565,585.123,72.094,0,0.0,58.1965,2.5,1,SAC-Lobby,40.914629,-73.124226,WolfieNet-Secure
360.cn,40,40,0,0.0,226.07,286.719,340.677,31.279,0,0.0,29.908820512820512,0.0,0,SAC-Lobby,40.914629,-73.124226,WolfieNet-Secure
jd.com,40,40,0,0.0,246.001,306.114,456.865,50.981,0,0.0,40.36702564102565,0.0,0,SAC-Lobby,40.914629,-73.124226,WolfieNet-Secure
amazon.com,40,40,0,0.0,11.907,18.849,32.61,3.832,0,0.0,3.3553846153846156,0.0,0,SAC-Lobby,40.914629,-73.124226,WolfieNet-Secure
yahoo.com,40,40,0,0.0,40.875,70.93,276.163,53.623,0,0.0,23.967871794871794,0.0,0,SAC-Lobby,40.914629,-73.124226,WolfieNet-Secure
wikipedia.org,40,40,0,0.0,36.949,55.734,153.082,27.307,0,0.0,14.921820512820517,0.0,0,SAC-Lobby,40.914629,-73.124226,WolfieNet-Secure
weibo.com,40,40,0,0.0,218.717,283.932,640.716,79.99,0,0.0,59.9741282051282,0.0,0,SAC-Lobby,40.914629,-73.124226,WolfieNet-Secure
