destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,12.519,24.545,90.13,16.626,0,0.0,11.329333333333334,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
youtube.com,40,40,0,0.0,12.487,19.116,22.376,2.354,0,0.0,2.2675384615384613,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
tmall.com,40,34,6,15.0,259.917,340.615,399.649,34.544,0,0.0,34.032606060606064,15.0,6,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
facebook.com,40,39,1,2.5,14.2,20.76,26.351,2.842,0,0.0,2.1733157894736843,2.5,1,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
qq.com,40,39,1,2.5,226.96,289.906,386.589,38.326,0,0.0,45.043157894736844,2.5,1,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
baidu.com,40,31,9,22.5,282.714,345.67,395.861,32.958,0,0.0,32.91363333333333,22.5,9,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
sohu.com,40,37,3,7.5,259.804,323.188,425.99,37.092,0,0.0,34.50761111111111,7.5,3,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
taobao.com,40,34,6,15.0,254.617,375.482,1399.105,182.184,0,0.0,100.91372727272729,15.0,6,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
360.cn,40,35,5,12.5,237.985,342.208,461.492,38.886,0,0.0,40.71626470588235,12.5,5,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
jd.com,40,40,0,0.0,266.22,325.946,383.444,34.305,0,0.0,35.99182051282052,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
amazon.com,40,40,0,0.0,11.508,18.622,21.594,2.739,0,0.0,2.3368974358974355,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
yahoo.com,40,40,0,0.0,73.245,80.202,110.529,5.315,0,0.0,3.8707692307692323,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
wikipedia.org,40,40,0,0.0,36.968,44.337,47.682,2.666,0,0.0,1.9612307692307696,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
weibo.com,40,40,0,0.0,241.188,294.46,353.31,33.69,0,0.0,36.62553846153846,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
sina.com.cn,40,13,27,67.5,253.025,348.71,407.798,49.72,0,0.0,49.53666666666668,67.5,27,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
alipay.com,40,33,7,17.5,304.101,357.818,407.656,30.94,0,0.0,32.759718750000005,17.5,7,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
bing.com,40,40,0,0.0,7.231,14.148,18.566,2.852,0,0.0,3.0114102564102567,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
live.com,40,40,0,0.0,7.929,14.515,20.262,2.915,0,0.0,3.217102564102564,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
twitter.com,40,40,0,0.0,38.146,45.017,49.723,2.221,0,0.0,1.9264102564102557,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
twitch.tv,40,40,0,0.0,6.001,13.485,14.944,1.853,0,0.0,1.6174615384615385,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
reddit.com,40,40,0,0.0,5.751,13.972,18.381,2.145,0,0.0,2.048102564102564,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
office.com,40,40,0,0.0,7.848,16.678,72.495,9.255,0,0.0,4.830820512820512,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
instagram.com,40,40,0,0.0,13.786,22.006,90.675,11.348,0,0.0,6.082435897435897,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
panda.tv,40,40,0,0.0,6.022,14.741,90.285,12.602,0,0.0,6.61874358974359,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
zhanqi.tv,40,35,5,12.5,291.821,359.662,418.712,32.177,0,0.0,38.804500000000004,12.5,5,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
blackboard.stonybrook.edu,40,40,0,0.0,6.097,13.683,16.87,1.946,0,0.0,1.7182307692307692,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
messenger.com,40,40,0,0.0,13.755,20.88,23.006,2.78,0,0.0,2.5289487179487184,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
classroom.google.com,40,40,0,0.0,11.994,17.979,21.612,2.787,0,0.0,3.438051282051281,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
chegg.com,40,40,0,0.0,12.401,19.411,23.875,2.051,0,0.0,1.9815641025641026,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
coursehero.com,40,40,0,0.0,6.856,15.782,61.82,7.848,0,0.0,4.8197948717948735,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
discord.com,40,40,0,0.0,7.071,13.705,17.074,2.99,0,0.0,2.9817948717948717,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
quizlet.com,40,40,0,0.0,7.126,14.535,16.259,2.102,0,0.0,1.5582564102564105,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
github.com,40,40,0,0.0,11.796,17.89,21.769,3.126,0,0.0,2.534128205128205,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
psns.cc.stonybrook.edu,40,39,1,2.5,5.119,42.836,1107.522,173.244,0,0.0,59.51818421052631,2.5,1,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
stackoverflow.com,40,40,0,0.0,6.449,13.22,16.549,1.928,0,0.0,2.1810769230769234,0.0,0,SchomburgA,40.913137,-73.132169,WolfieNet-Secure
