destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,9.547,12.937,52.278,7.213,0,0.0,3.751794871794871,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
youtube.com,40,39,1,2.5,10.032,11.614,13.654,0.744,0,0.0,0.9789473684210527,2.5,1,SchomburgA,40.91339,-73.13221,eduroam
tmall.com,40,40,0,0.0,247.545,310.718,370.803,34.253,0,0.0,38.84615384615385,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
facebook.com,40,39,1,2.5,11.671,13.271,17.899,1.166,0,0.0,1.1236842105263156,2.5,1,SchomburgA,40.91339,-73.13221,eduroam
qq.com,40,40,0,0.0,222.477,298.483,477.298,66.467,0,0.0,66.64102564102564,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
baidu.com,40,40,0,0.0,222.831,293.155,417.719,52.955,0,0.0,69.97435897435898,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
sohu.com,40,37,3,7.5,222.6,313.292,535.283,61.618,0,0.0,55.22222222222222,7.5,3,SchomburgA,40.91339,-73.13221,eduroam
taobao.com,40,40,0,0.0,243.916,343.798,661.19,67.523,0,0.0,55.07692307692308,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
360.cn,40,40,0,0.0,219.588,325.277,460.593,47.309,0,0.0,47.84615384615385,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
jd.com,40,27,13,32.5,323.261,378.89,461.018,36.33,0,0.0,43.69230769230769,32.5,13,SchomburgA,40.91339,-73.13221,eduroam
amazon.com,40,40,0,0.0,9.685,11.087,16.179,1.26,0,0.0,1.2794871794871796,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
yahoo.com,40,40,0,0.0,14.109,16.032,22.846,1.882,0,0.0,1.4333333333333336,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
wikipedia.org,40,40,0,0.0,34.562,36.785,75.118,6.172,0,0.0,2.7666666666666666,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
weibo.com,40,38,2,5.0,217.718,307.544,438.165,48.573,0,0.0,52.432432432432435,5.0,2,SchomburgA,40.91339,-73.13221,eduroam
sina.com.cn,40,27,13,32.5,282.621,374.15,473.39,51.071,0,0.0,62.30769230769231,32.5,13,SchomburgA,40.91339,-73.13221,eduroam
alipay.com,40,40,0,0.0,261.054,376.103,676.03,90.924,0,0.0,83.41025641025641,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
bing.com,40,40,0,0.0,4.573,7.812,52.3,7.303,0,0.0,3.87102564102564,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
live.com,40,40,0,0.0,5.324,6.625,7.958,0.651,0,0.0,0.844871794871795,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
twitter.com,40,40,0,0.0,29.295,35.695,120.978,16.732,0,0.0,9.994871794871795,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
twitch.tv,40,40,0,0.0,3.876,5.403,10.805,1.088,0,0.0,1.0092307692307692,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
reddit.com,40,40,0,0.0,3.702,6.132,41.659,5.741,0,0.0,2.6243589743589744,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
office.com,40,40,0,0.0,5.355,6.696,7.822,0.744,0,0.0,0.89025641025641,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
instagram.com,40,40,0,0.0,11.284,12.599,14.613,0.602,0,0.0,0.6923076923076925,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
panda.tv,40,40,0,0.0,3.938,5.357,11.435,1.155,0,0.0,0.9805128205128207,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
zhanqi.tv,40,39,1,2.5,281.196,381.096,514.987,47.196,0,0.0,52.0,2.5,1,SchomburgA,40.91339,-73.13221,eduroam
blackboard.stonybrook.edu,40,39,1,2.5,3.317,6.543,46.064,6.927,0,0.0,2.5997368421052633,2.5,1,SchomburgA,40.91339,-73.13221,eduroam
messenger.com,40,39,1,2.5,11.801,13.354,17.26,0.844,0,0.0,0.9052631578947367,2.5,1,SchomburgA,40.91339,-73.13221,eduroam
classroom.google.com,40,40,0,0.0,9.663,11.055,13.386,0.708,0,0.0,0.7892307692307693,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
chegg.com,40,40,0,0.0,9.265,10.551,12.326,0.797,0,0.0,0.912564102564103,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
coursehero.com,40,39,1,2.5,4.506,5.932,15.461,1.662,0,0.0,1.1455263157894737,2.5,1,SchomburgA,40.91339,-73.13221,eduroam
discord.com,40,40,0,0.0,4.528,5.386,7.86,0.765,0,0.0,0.7548717948717951,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
quizlet.com,40,39,1,2.5,4.69,28.035,169.259,38.742,0,0.0,36.27447368421053,2.5,1,SchomburgA,40.91339,-73.13221,eduroam
github.com,40,40,0,0.0,9.552,19.291,76.218,16.668,0,0.0,12.66923076923077,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
psns.cc.stonybrook.edu,40,40,0,0.0,2.605,14.386,62.6,16.974,0,0.0,12.826153846153847,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
stackoverflow.com,40,40,0,0.0,3.857,14.674,127.895,21.859,0,0.0,14.346666666666664,0.0,0,SchomburgA,40.91339,-73.13221,eduroam
