destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,12.972,27.694,85.199,18.151,0,0.0,14.45135897435897,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
youtube.com,40,40,0,0.0,13.31,43.547,188.101,49.129,0,0.0,22.62933333333333,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
tmall.com,40,40,0,0.0,267.554,311.827,446.216,49.323,0,0.0,39.15592307692308,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
facebook.com,40,40,0,0.0,14.562,47.921,181.077,45.506,0,0.0,27.007282051282047,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
qq.com,40,40,0,0.0,218.821,261.157,370.219,45.743,0,0.0,40.14361538461538,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
baidu.com,40,40,0,0.0,219.049,288.394,417.072,56.696,0,0.0,44.958282051282055,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
sohu.com,40,40,0,0.0,219.275,292.177,442.841,52.74,0,0.0,45.97430769230769,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
taobao.com,40,40,0,0.0,267.496,346.177,496.32,57.657,0,0.0,40.330846153846146,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
360.cn,40,40,0,0.0,220.511,277.482,412.365,50.42,0,0.0,48.75092307692309,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
jd.com,40,40,0,0.0,225.468,310.537,494.092,59.502,0,0.0,50.87776923076923,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
amazon.com,40,40,0,0.0,11.699,44.064,167.706,42.575,0,0.0,28.08766666666667,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
yahoo.com,40,40,0,0.0,16.55,56.586,238.655,59.552,0,0.0,29.13333333333333,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
wikipedia.org,40,40,0,0.0,38.185,77.872,251.309,50.837,0,0.0,28.63815384615385,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
weibo.com,40,35,5,12.5,320.067,359.06,515.588,51.935,0,0.0,39.14947058823529,12.5,5,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
sina.com.cn,40,40,0,0.0,217.277,277.904,415.26,58.214,0,0.0,40.456307692307696,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
alipay.com,40,40,0,0.0,259.86,334.581,1072.328,130.319,0,0.0,79.6311794871795,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
bing.com,40,40,0,0.0,7.62,58.608,262.204,67.438,0,0.0,32.94533333333334,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
live.com,40,40,0,0.0,7.498,41.61,203.13,53.476,0,0.0,30.83771794871795,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
twitter.com,40,40,0,0.0,32.14,55.816,176.596,32.419,0,0.0,24.51484615384616,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
twitch.tv,40,40,0,0.0,6.103,33.864,291.592,56.471,0,0.0,34.09194871794872,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
reddit.com,40,40,0,0.0,6.038,34.272,178.874,45.148,0,0.0,26.0851282051282,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
office.com,40,40,0,0.0,8.693,44.138,175.265,43.931,0,0.0,20.41258974358974,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
instagram.com,40,40,0,0.0,13.781,42.649,186.75,45.876,0,0.0,26.86510256410256,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
panda.tv,40,40,0,0.0,6.52,31.482,168.269,40.148,0,0.0,23.70276923076923,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
zhanqi.tv,40,40,0,0.0,244.927,333.285,543.681,67.93,0,0.0,54.16974358974359,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
blackboard.stonybrook.edu,40,40,0,0.0,6.207,27.783,153.203,35.763,0,0.0,22.56184615384615,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
messenger.com,40,40,0,0.0,14.363,52.454,201.17,55.133,0,0.0,28.26823076923077,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
classroom.google.com,40,40,0,0.0,12.791,40.533,190.716,43.237,0,0.0,21.586128205128205,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
chegg.com,40,40,0,0.0,12.4,47.775,178.251,50.641,0,0.0,27.031897435897434,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
coursehero.com,40,40,0,0.0,7.342,33.825,171.825,43.261,0,0.0,23.85789743589743,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
discord.com,40,40,0,0.0,7.799,40.592,203.611,49.758,0,0.0,26.689769230769233,0.0,0,StudentUnion-F1,40.917065,-73.12242,WolfieNet-Secure
