destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,38,2,5.0,12.714,47.765,225.565,47.603,0,0.0,31.879351351351353,5.0,2,StudentUnion-F1,40.917065,-73.12242,eduroam
youtube.com,40,39,1,2.5,12.383,48.146,323.183,59.998,0,0.0,42.59573684210527,2.5,1,StudentUnion-F1,40.917065,-73.12242,eduroam
tmall.com,40,40,0,0.0,268.646,445.759,940.302,183.094,0,0.0,114.17125641025642,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
facebook.com,40,39,1,2.5,14.492,49.977,212.265,47.082,0,0.0,32.9426052631579,2.5,1,StudentUnion-F1,40.917065,-73.12242,eduroam
qq.com,40,40,0,0.0,249.858,394.335,1083.112,175.343,0,0.0,172.99515384615384,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
baidu.com,40,40,0,0.0,216.27,335.358,799.994,130.83,0,0.0,110.89561538461538,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
sohu.com,40,39,1,2.5,228.923,361.292,746.922,142.521,0,0.0,95.68644736842104,2.5,1,StudentUnion-F1,40.917065,-73.12242,eduroam
taobao.com,40,40,0,0.0,246.353,397.918,783.548,136.48,0,0.0,115.43984615384616,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
360.cn,40,38,2,5.0,224.078,360.318,1079.471,178.451,0,0.0,156.48510810810814,5.0,2,StudentUnion-F1,40.917065,-73.12242,eduroam
jd.com,40,40,0,0.0,246.422,371.607,772.889,145.07,0,0.0,135.77346153846156,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
amazon.com,40,40,0,0.0,13.657,49.409,228.983,51.517,0,0.0,26.870589743589743,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
yahoo.com,40,40,0,0.0,44.464,78.985,190.094,40.321,0,0.0,23.333256410256407,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
wikipedia.org,40,40,0,0.0,38.621,81.322,246.182,53.929,0,0.0,32.38710256410256,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
weibo.com,40,38,2,5.0,226.681,340.728,1054.364,153.212,0,0.0,139.6668918918919,5.0,2,StudentUnion-F1,40.917065,-73.12242,eduroam
sina.com.cn,40,39,1,2.5,243.776,319.89,545.816,74.855,0,0.0,73.54921052631579,2.5,1,StudentUnion-F1,40.917065,-73.12242,eduroam
alipay.com,40,40,0,0.0,252.457,379.604,699.831,111.706,0,0.0,83.06315384615385,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
bing.com,40,39,1,2.5,7.618,25.896,107.407,26.071,0,0.0,19.55357894736842,2.5,1,StudentUnion-F1,40.917065,-73.12242,eduroam
live.com,40,40,0,0.0,7.614,30.884,165.781,39.168,0,0.0,24.848,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
twitter.com,40,40,0,0.0,31.906,57.832,180.081,40.124,0,0.0,23.549717948717948,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
twitch.tv,40,40,0,0.0,7.003,35.0,173.81,45.068,0,0.0,27.01741025641026,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
reddit.com,40,39,1,2.5,7.338,41.942,228.166,57.261,0,0.0,35.52286842105263,2.5,1,StudentUnion-F1,40.917065,-73.12242,eduroam
office.com,40,40,0,0.0,9.0,55.068,208.241,62.913,0,0.0,35.94497435897437,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
instagram.com,40,38,2,5.0,14.456,55.469,219.368,57.482,0,0.0,44.266054054054045,5.0,2,StudentUnion-F1,40.917065,-73.12242,eduroam
panda.tv,40,39,1,2.5,7.235,34.843,135.736,36.1,0,0.0,26.564078947368422,2.5,1,StudentUnion-F1,40.917065,-73.12242,eduroam
zhanqi.tv,40,40,0,0.0,245.066,334.052,539.879,71.514,0,0.0,57.596307692307676,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
blackboard.stonybrook.edu,40,40,0,0.0,6.773,32.864,175.58,40.339,0,0.0,22.245179487179485,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
messenger.com,40,40,0,0.0,14.965,35.977,174.754,37.041,0,0.0,23.01225641025641,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
classroom.google.com,40,39,1,2.5,13.546,45.66,189.126,38.54,0,0.0,30.912578947368424,2.5,1,StudentUnion-F1,40.917065,-73.12242,eduroam
chegg.com,40,39,1,2.5,12.734,57.657,323.015,80.189,0,0.0,53.445605263157894,2.5,1,StudentUnion-F1,40.917065,-73.12242,eduroam
coursehero.com,40,40,0,0.0,8.216,33.543,160.936,41.434,0,0.0,26.46253846153846,0.0,0,StudentUnion-F1,40.917065,-73.12242,eduroam
discord.com,40,39,1,2.5,8.354,40.972,168.154,42.134,0,0.0,26.84115789473684,2.5,1,StudentUnion-F1,40.917065,-73.12242,eduroam
quizlet.com,40,37,3,7.5,7.847,41.312,180.085,45.058,0,0.0,26.355472222222225,7.5,3,StudentUnion-F1,40.917065,-73.12242,eduroam
github.com,40,33,7,17.5,13.537,51.014,282.209,55.54,0,0.0,36.02609375,17.5,7,StudentUnion-F1,40.917065,-73.12242,eduroam
psns.cc.stonybrook.edu,40,39,1,2.5,5.194,22.435,104.248,22.346,0,0.0,17.323184210526314,2.5,1,StudentUnion-F1,40.917065,-73.12242,eduroam
stackoverflow.com,40,38,2,5.0,7.337,46.827,242.434,58.365,0,0.0,37.20956756756757,5.0,2,StudentUnion-F1,40.917065,-73.12242,eduroam
